Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:4 Checked:240 Candidates:2789  (AssToFileHandler RefCompPDVE)
Found:4 Checked:241 Candidates:2788  (AssToFileHandler Referral)
Distribution for (AssToFileHandler 0,2 Referral)
N_a: 3, N_ab: 3, Critical interval: ((0, 2)), P(success): 0.2632, p_value: 0.0182

Found:5 Checked:242 Candidates:2899  (AssToFileHandler RefRemFromInbox)
Found:5 Checked:243 Candidates:2898  (AssToFileHandler RefRespPD)
Found:5 Checked:244 Candidates:2897  (AssToFileHandler RefRespPDVE)
Found:5 Checked:245 Candidates:2896  (AssToFileHandler RefSentPD)
Found:5 Checked:246 Candidates:2895  (AssToFileHandler RefSentPDVE)
Distribution for (AssToFileHandler 0,2 RefSentPDVE)
N_a: 3, N_ab: 3, Critical interval: ((0, 2)), P(success): 0.2297, p_value: 0.0121

Found:6 Checked:247 Candidates:3008  (AssToFileHandler Rental)
Found:6 Checked:248 Candidates:3007  (AssToFileHandler ReviewRemFromInbox)
Found:6 Checked:249 Candidates:3006  (AssToFileHandler RouteToInbox)
Found:6 Checked:250 Candidates:3005  (AssToFileHandler Subrogation)
Found:6 Checked:251 Candidates:3004  (AssToFileHandler SuspendedItem)
Distribution for (AssToFileHandler 0,2 SuspendedItem)
N_a: 7, N_ab: 5, Critical interval: ((0, 2)), P(success): 0.2171, p_value: 0.0068

Found:7 Checked:252 Candidates:3119  (AssToFileHandler Suspense)
Found:7 Checked:253 Candidates:3118  (AssToFileHandler UnsuspendedItem)
Found:7 Checked:254 Candidates:3117  (AssToFileHandler Vehicle)
Distribution for (AssToFileHandler 3,5 Vehicle)
N_a: 7, N_ab: 4, Critical interval: ((3, 5)), P(success): 0.1970, p_value: 0.0317

Found:8 Checked:255 Candidates:3234  (AssToFileHandler VehicleEdited)
Found:8 Checked:256 Candidates:3233  (AudatexReceipt AssociatedToClaim)
Found:8 Checked:257 Candidates:3232  (AudatexReceipt AssociatedToParty)
Found:8 Checked:258 Candidates:3231  (AudatexReceipt AssReRouteQueue)
Found:8 Checked:259 Candidates:3230  (AudatexReceipt AssRouteToOffice)
Found:8 Checked:260 Candidates:3229  (AudatexReceipt AssToFileHandler)
Found:8 Checked:261 Candidates:3228  (AudatexReceipt AudatexReceipt)
