Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:8 Checked:282 Candidates:2531  (AudatexReceipt Suspense)
Found:8 Checked:283 Candidates:2530  (AudatexReceipt UnsuspendedItem)
Found:8 Checked:284 Candidates:2529  (AudatexReceipt Vehicle)
Found:8 Checked:285 Candidates:2528  (AudatexReceipt VehicleEdited)
Found:8 Checked:286 Candidates:2527  (ClaimActivityLog AssociatedToClaim)
Found:8 Checked:287 Candidates:2526  (ClaimActivityLog AssociatedToParty)
Found:8 Checked:288 Candidates:2525  (ClaimActivityLog AssReRouteQueue)
Found:8 Checked:289 Candidates:2524  (ClaimActivityLog AssRouteToOffice)
Found:8 Checked:290 Candidates:2523  (ClaimActivityLog AssToFileHandler)
Found:8 Checked:291 Candidates:2522  (ClaimActivityLog AudatexReceipt)
Found:8 Checked:292 Candidates:2521  (ClaimActivityLog ClaimActivityLog)
Found:8 Checked:293 Candidates:2520  (ClaimActivityLog ClaimClosed)
Found:8 Checked:294 Candidates:2519  (ClaimActivityLog ClaimEdited)
Found:8 Checked:295 Candidates:2518  (ClaimActivityLog ClaimReopened)
Found:8 Checked:296 Candidates:2517  (ClaimActivityLog ClaimReported)
Found:8 Checked:297 Candidates:2516  (ClaimActivityLog ClaimSetup)
Found:8 Checked:298 Candidates:2515  (ClaimActivityLog ClaimSummary)
Found:8 Checked:299 Candidates:2514  (ClaimActivityLog Contact)
Found:8 Checked:300 Candidates:2513  (ClaimActivityLog COPSCarAsgSentCRP)
Found:8 Checked:301 Candidates:2512  (ClaimActivityLog COPSCarAsgSentPDR)
Found:8 Checked:302 Candidates:2511  (ClaimActivityLog Correspondencsent)
Found:8 Checked:303 Candidates:2510  (ClaimActivityLog Coverage)
Found:8 Checked:304 Candidates:2509  (ClaimActivityLog DocAddInProgress)
Found:8 Checked:305 Candidates:2508  (ClaimActivityLog DocumentAdded)
Found:8 Checked:306 Candidates:2507  (ClaimActivityLog DocumentFiled)
Found:8 Checked:307 Candidates:2506  (ClaimActivityLog FYISent)
Found:8 Checked:308 Candidates:2505  (ClaimActivityLog grpPymtSubmit)
Found:8 Checked:309 Candidates:2504  (ClaimActivityLog Inbound)
Found:8 Checked:310 Candidates:2503  (ClaimActivityLog InitialContact)
Found:8 Checked:311 Candidates:2502  (ClaimActivityLog IsoMatchRpt)
Found:8 Checked:312 Candidates:2501  (ClaimActivityLog IsoNoMatchRpt)
Found:8 Checked:313 Candidates:2500  (ClaimActivityLog ItmReAssToFHndler)
Found:8 Checked:314 Candidates:2499  (ClaimActivityLog LiabilityAnalysis)
Found:8 Checked:315 Candidates:2498  (ClaimActivityLog makePaymentSubmit)
Found:8 Checked:316 Candidates:2497  (ClaimActivityLog MultDocAddBegin)
Found:8 Checked:317 Candidates:2496  (ClaimActivityLog MultipleDocAdded)
Found:8 Checked:318 Candidates:2495  (ClaimActivityLog Outbound)
Found:8 Checked:319 Candidates:2494  (ClaimActivityLog PartyAdded)
Found:8 Checked:320 Candidates:2493  (ClaimActivityLog PartyEdited)
Found:8 Checked:321 Candidates:2492  (ClaimActivityLog PerilActivity)
Found:8 Checked:322 Candidates:2491  (ClaimActivityLog PropertyDamages)
Found:8 Checked:323 Candidates:2490  (ClaimActivityLog PropEstSent)
Found:8 Checked:324 Candidates:2489  (ClaimActivityLog ReasonforEscalation)
Found:8 Checked:325 Candidates:2488  (ClaimActivityLog ReceiptItem)
Found:8 Checked:326 Candidates:2487  (ClaimActivityLog ReceiptXactware)
Found:8 Checked:327 Candidates:2486  (ClaimActivityLog recordManualPymt)
Found:8 Checked:328 Candidates:2485  (ClaimActivityLog RefCompPDVE)
Found:8 Checked:329 Candidates:2484  (ClaimActivityLog Referral)
Found:8 Checked:330 Candidates:2483  (ClaimActivityLog RefRemFromInbox)
Found:8 Checked:331 Candidates:2482  (ClaimActivityLog RefRespPDVE)
Found:8 Checked:332 Candidates:2481  (ClaimActivityLog RefRespSalvage)
Found:8 Checked:333 Candidates:2480  (ClaimActivityLog RefSentPDVE)
